"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","selected_clip","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","accuracy","question_order"
"","","","","","html-keyboard-response","357","1274242","0.0-357.0","","","","","","","","","","","","1642","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","13","M3_03","M4_01","","M3","M4","male","male","Not too far away from here.","The main source is from class.","",""
"","","","","","audio-keyboard-response","358","1277242","0.0-358.0","","","","","","","","","","","","null","../audio/M1_01.WAV","null","M1_01","M1","male","1","1.480896","5.043558001","You kind of get spoiled.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","359","1280422","0.0-359.0","","","","","","","","","","","","null","../audio/F1_04.WAV","s","F1_04","F1","female","2","3.175875","3.149","But majority of the time people offered to pick me up.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","360","1282442","0.0-360.0","","","","","","","","","","","","1126","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","14","M1_01","F1_04","","M1","F1","male","female","You kind of get spoiled.","But majority of the time people offered to pick me up.","",""
"","","","","","audio-keyboard-response","361","1285068","0.0-361.0","","","","","","","","","","","","null","../audio/M5_03.WAV","null","M5_03","M5","male","1","1.118844","3.576","I said, what is this?","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","362","1286213","0.0-362.0","","","","","","","","","","","","null","../audio/F5_01.WAV","l","F5_01","F5","female","2","1.144573","3.495","He worked very hard.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","363","1288222","0.0-363.0","","","","","","","","","","","","1745","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","15","M5_03","F5_01","","M5","F5","male","female","I said, what is this?","He worked very hard.","",""
"","","","","","audio-keyboard-response","364","1291752","0.0-364.0","","","","","","","","","","","","null","../audio/M5_01.WAV","null","M5_01","M5","male","1","2.002865","2.994","All of us were very young, so...","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","365","1296023","0.0-365.0","","","","","","","","","","","","null","../audio/F3_01.WAV","l","F3_01","F3","female","2","4.267563","1.875","My parents, my two sisters, and my two brothers.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","366","1298042","0.0-366.0","","","","","","","","","","","","715","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","16","M5_01","F3_01","","M5","F3","male","female","All of us were very young, so...","My parents, my two sisters, and my two brothers.","",""
"","","","","","audio-keyboard-response","367","1301202","0.0-367.0","","","","","","","","","","","","null","../audio/F3_04.WAV","null","F3_04","F3","female","1","1.651802","4.843","There were a lot of children in the area.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","368","1302763","0.0-368.0","","","","","","","","","","","","null","../audio/M5_02.WAV","l","M5_02","M5","male","2","1.560854","3.204","In December, it was cold.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","369","1304782","0.0-369.0","","","","","","","","","","","","924","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","17","F3_04","M5_02","","F3","M5","female","male","There were a lot of children in the area.","In December, it was cold.","",""
